date,fatalities,injured,total_victims
1982-08-20,8,3,11
1984-06-29,6,1,7
1984-07-18,22,19,41
1986-08-20,15,6,21
1987-04-23,6,14,20
1988-02-16,7,4,11
1989-01-17,6,29,35
1989-09-14,9,12,21
1990-06-18,10,4,14
1991-10-16,24,20,44
1991-11-01,6,1,7
1991-11-14,5,5,10
1992-05-01,4,10,14
1992-10-15,5,0,5
1993-07-01,9,6,15
1993-08-06,4,8,12
1993-12-07,6,19,25
1993-12-14,4,1,5
1994-06-20,5,23,28
1995-04-03,6,0,6
1996-02-09,6,1,7
1997-09-15,4,3,7
1997-12-18,5,2,7
1998-03-06,5,1,6
1998-03-24,5,10,15
1998-05-21,4,25,29
1999-04-20,13,24,37
1999-07-29,9,13,22
1999-09-15,8,7,15
1999-11-02,7,0,7
1999-12-30,5,3,8
2000-12-26,7,0,7
2001-02-05,5,4,9
2003-07-08,7,8,15
2004-12-08,5,7,12
2005-03-12,7,4,11
2005-03-21,10,5,15
2006-01-30,8,0,8
2006-03-25,7,2,9
2006-10-02,6,5,11
2007-02-12,6,4,10
2007-04-16,32,23,55
2007-10-07,6,1,7
2007-12-05,9,4,13
2008-02-07,6,2,8
2008-02-14,5,21,26
2008-06-25,6,1,7
2009-03-29,8,3,11
2009-04-03,14,4,18
2009-11-05,13,31,44
2009-11-29,4,1,5
2010-08-03,9,2,11
2011-01-08,6,13,19
2011-09-06,5,7,12
2011-10-12,8,1,9
2012-02-21,5,0,5
2012-04-02,7,3,10
2012-05-20,6,1,7
2012-07-20,12,70,82
2012-08-05,7,3,10
2012-09-27,7,1,8
2012-12-14,27,2,29
2013-03-13,5,2,7
2013-04-21,5,0,5
2013-06-07,6,3,9
2013-07-26,7,0,7
2013-09-16,12,8,20
2014-02-20,4,2,6
2014-04-03,3,12,15
2014-05-23,6,13,19
2014-10-24,5,1,6
2015-06-11,3,1,4
2015-06-17,9,1,10
2015-07-16,5,2,7
2015-10-01,9,9,18
2015-10-31,3,0,3
2015-11-27,3,9,12
2015-12-02,14,21,35
2016-02-20,6,2,8
2016-02-25,3,14,17
2016-06-12,49,53,102
2016-07-07,5,11,16
2016-07-17,3,3,6
2016-09-23,5,0,5
2017-01-06,5,6,11
2017-04-18,3,0,3
2017-05-12,3,0,3
2017-06-05,5,0,5
2017-06-07,3,0,3
2017-06-14,3,2,5
2017-10-01,58,546,604
2017-10-18,3,3,6
2017-11-01,3,0,3
2017-11-05,26,20,46
2017-11-14,5,10,15
2018-01-28,4,1,5
2018-02-14,17,17,34
2018-03-09,3,0,3
2018-04-22,4,4,8
2018-05-18,10,13,23
2018-06-28,5,2,7
2018-09-06,3,2,5
2018-09-12,5,0,5
2018-09-20,3,3,6
2018-10-27,11,6,17
2018-11-07,12,22,34
2018-11-19,3,0,3
2019-01-23,5,0,5
2019-01-24,3,1,4
2019-02-15,5,6,11
2019-05-31,12,4,16
2019-07-28,3,12,15
2019-08-03,22,26,48
2019-08-04,9,27,36
2019-08-31,7,25,32
2019-12-06,3,8,11
2019-12-10,4,3,7
2020-02-26,5,0,5
