Year,Count
1982-01-01,1
1984-01-01,2
1986-01-01,1
1987-01-01,1
1988-01-01,1
1989-01-01,2
1990-01-01,1
1991-01-01,3
1992-01-01,2
1993-01-01,4
1994-01-01,1
1995-01-01,1
1996-01-01,1
1997-01-01,2
1998-01-01,3
1999-01-01,5
2000-01-01,1
2001-01-01,1
2003-01-01,1
2004-01-01,1
2005-01-01,2
2006-01-01,3
2007-01-01,4
2008-01-01,3
2009-01-01,4
2010-01-01,1
2011-01-01,3
2012-01-01,7
2013-01-01,5
2014-01-01,4
2015-01-01,7
2016-01-01,6
2017-01-01,11
2018-01-01,12
2019-01-01,10
2020-01-01,1
